short_name,dataset_column_name,Name,var_name,var_standardname,var_units,var_description,var_comment,var_comment2,var_cell_methods,time_units,time_values_min,time_values_max,TP,type_timeaxis
tmean_recent,RecentPast.avg_C.mean.med,tmean_dy_gridSTDF_recentpast,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
tmean_recent_rollmean,RecentPast.avg_C_rollmean.med,tmean_dy_gridSTDF_recentpast-rollmean,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",rolling mean of daily values,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
tmean_recent_diffs,RecentPast.avg_C.diffs.med,tmean_dy_gridSTDF_recentpast-diffs,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"extracted from gridMet (Abatzoglou, J.T., 2013)",difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
ppt_recent,RecentPast.ppt.mean.med,ppt_dy_gridSTDF_recentpast,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
ppt_recent_rollmean,RecentPast.ppt_rollsum.med,ppt_dy_gridSTDF_recentpast-rollsum,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",rolling sum of daily values,time: mean within days time: rolling sum over days,days since 1970-01-01,1,180,RP,timeseries
ppt_recent_diffs,RecentPast.ppt.diffs.med,ppt_dy_gridSTDF_recentpast-diffs,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"extracted from gridMet (Abatzoglou, J.T., 2013)",difference between recent past rolling sum and historical normal rolling sum for the same mm-dd,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent,RecentPast.VWC.Shallow.mean.med,vwc-shallow_dy_gridSTDF_recentpast,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent_rollmean,RecentPast.VWC.Shallow_rollmean.med,vwc-shallow_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-shallow_recent_diffs,RecentPast.VWC.Shallow.diffs.med,vwc-shallow_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent,RecentPast.VWC.Intermediate.mean.med,vwc-med_dy_gridSTDF_recentpast ,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent_rollmean,RecentPast.VWC.Intermediate_rollmean.med,vwc-med_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-med_recent_diffs,RecentPast.VWC.Intermediate.diffs.med,vwc-med_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent,RecentPast.VWC.Deep.mean.med,vwc-deep_dy_gridSTDF_recentpast,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent_rollmean,RecentPast.VWC.Deep_rollmean.med,vwc-deep_dy_gridSTDF_recentpast-rollmean,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
vwc-deep_recent_diffs,RecentPast.VWC.Deep.diffs.med,vwc-deep_dy_gridSTDF_recentpast-diffs,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent,RecentPast.SWP.Intermediate.mean.med,swp-shallow_dy_gridSTDF_recentpast,swp,soil_water_potential,MPa,Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent_rollmean,RecentPast.SWP.Intermediate_rollmean.med,swp-shallow_dy_gridSTDF_recentpast-rollmean,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-shallow_recent_diffs,RecentPast.SWP.Intermediate.diffs.med,swp-shallow_dy_gridSTDF_recentpast-diffs,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-med_recent,RecentPast.SWP.Intermediate.mean.med,swp-med_dy_gridSTDF_recentpast,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
swp-med_recent_rollmean,RecentPast.SWP.Intermediate_rollmean.med,swp-med_dy_gridSTDF_recentpast-rollmean,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-med_recent_diffs,RecentPast.SWP.Intermediate.diffs.med,swp-med_dy_gridSTDF_recentpast-diffs,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-deep_recent,RecentPast.SWP.Deep.mean.med,swp-deep_dy_gridSTDF_recentpast,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days ,days since 1970-01-01,1,180,RP,timeseries
swp-deep_recent_rollmean,RecentPast.SWP.Deep_rollmean.med,swp-deep_dy_gridSTDF_recentpast-rollmean,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),rolling mean of daily values,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
swp-deep_recent_diffs,RecentPast.SWP.Deep.diffs.med,swp-deep_dy_gridSTDF_recentpast-diffs,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),difference between recent past rolling mean and historical normal rolling mean for the same mm-dd,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: rolling mean over days,days since 1970-01-01,1,180,RP,timeseries
tmean_hist_med,avg_C_rollmean.med,tmean_dy_gridSTDF_historical_19910101-20201231-median,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
tmean_hist_10,avg_C_rollmean.10,tmean_dy_gridSTDF_historical_19910101-20201231-10pct,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
tmean_hist_90,avg_C_rollmean.90,tmean_dy_gridSTDF_historical_19910101-20201231-90pct,ta,air_temperature,C,Daily Mean Maximum Temperature (2 meters above ground),"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
ppt_hist_med,ppt_rollsum.med,ppt_dy_gridSTDF_historical_19910101-20201231-median,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: sum within days time: mean over years,days since 1970-01-01,1,549,H,climatology
ppt_hist_10,ppt_rollsum.10,ppt_dy_gridSTDF_historical_19910101-20201231-10pct,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: sum within days time: mean over years,days since 1970-01-01,1,549,H,climatology
ppt_hist_90,ppt_rollsum.90,ppt_dy_gridSTDF_historical_19910101-20201231-90pct,ppt,precipitation_amount,mm,Daily Accumulated Precipitation,"re-processed from gridMet (Abatzoglou, J.T., 2013)",,time: sum within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-shallow_hist_med,VWC.Intermediate_rollmean.med,vwc-shallow_dy_gridSTDF_historical_19910101-20201231-median,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-shallow_hist_10,VWC.Intermediate_rollmean.10,vwc-shallow_dy_gridSTDF_historical_19910101-20201231-10pct,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-shallow_hist_90,VWC.Intermediate_rollmean.90,vwc-shallow_dy_gridSTDF_historical_19910101-20201231-90pct,vwc,volumetric_water_content,cm/cm,Daily  Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-med_hist_med,VWC.Intermediate_rollmean.med,vwc-med_dy_gridSTDF_historical_19910101-20201231-median,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-med_hist_10,VWC.Intermediate_rollmean.10,vwc-med_dy_gridSTDF_historical_19910101-20201231-10pct,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-med_hist_90,VWC.Intermediate_rollmean.90,vwc-med_dy_gridSTDF_historical_19910101-20201231-90pct,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-deep_hist_deep,VWC.Deep_rollmean.med,vwc-deep_dy_gridSTDF_historical_19910101-20201231-median,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-deep_hist_10,VWC.Deep_rollmean.10,vwc-deep_dy_gridSTDF_historical_19910101-20201231-10pct,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
vwc-deep_hist_90,VWC.Deep_rollmean.90,vwc-deep_dy_gridSTDF_historical_19910101-20201231-90pct,vwc,volumetric_water_content,cm/cm,Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-shallow_hist_med,SWP.Shallow_rollmean.med,swp-shallow_dy_gridSTDF_historical_19910101-20201231-median,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-shallow_hist_10,SWP.Shallow_rollmean.10,swp-shallow_dy_gridSTDF_historical_19910101-20201231-10pct,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-shallow_hist_90,SWP.Shallow_rollmean.90,swp-shallow_dy_gridSTDF_historical_19910101-20201231-90pct,swp,soil_water_potential,MPa,Daily  Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-med_hist_med,SWP.Intermediate_rollmean.med,swp-med_dy_gridSTDF_historical_19910101-20201231-median,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-med_hist_10,SWP.Intermediate_rollmean.10,swp-med_dy_gridSTDF_historical_19910101-20201231-10pct,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-med_hist_90,SWP.Intermediate_rollmean.90,swp-med_dy_gridSTDF_historical_19910101-20201231-90pct,swp,soil_water_potential,MPa,Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-deep_hist_deep,SWP.Deep_rollmean.med,swp-deep_dy_gridSTDF_historical_19910101-20201231-median,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51- 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-deep_hist_10,SWP.Deep_rollmean.10,swp-deep_dy_gridSTDF_historical_19910101-20201231-10pct,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51- 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
swp-deep_hist_90,SWP.Deep_rollmean.90,swp-deep_dy_gridSTDF_historical_19910101-20201231-90pct,swp,soil_water_potential,MPa,Daily Soil Water Potential in Deep Soil Layers (51- 185cm soil depth),,,time: mean within days time: mean over years,days since 1970-01-01,1,549,H,climatology
tmean_median,NearFut.avg_C.mean.med,tmean_dy_gridSTDF_median-prediction,ta,air_temperature,C,Predicted Daily Air Temperature,median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
tmean_10,NearFut.avg_C.mean.10,tmean_dy_gridSTDF_10pct-prediction,ta,air_temperature,C,Predicted Daily Air Temperature,10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
tmean_90,NearFut.avg_C.mean.90,tmean_dy_gridSTDF_90pct-prediction,ta,air_temperature,C,Predicted Daily Air Temperature,90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
tmean_median_diff,NearFut.avg_C.diffs.med,tmean_dy_gridSTDF_median-diffs-prediction,ta,air_temperature,C,Predicted Daily Air Temperature,difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
tmean_10_diff,NearFut.avg_C.diffs.10,tmean_dy_gridSTDF_10pct-diffs-prediction,ta,air_temperature,C,Predicted Daily Air Temperature,difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
tmean_90_diff,NearFut.avg_C.diffs.90,tmean_dy_gridSTDF_90pct-diffs_prediction,ta,air_temperature,C,Predicted Daily Air Temperature,difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_median,NearFut.ppt.sum.med,ppt_dy_gridSTDF_median-prediction,ppt,precipitation_amount,mm,Predicted Daily Precipiation,median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_10,NearFut.ppt.sum.10,ppt_dy_gridSTDF_10pct-prediction,ppt,precipitation_amount,mm,Predicted Daily Precipitation,10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_90,NearFut.ppt.sum.90,ppt_dy_gridSTDF_90pct-prediction,ppt,precipitation_amount,mm,Predicted Daily Precipitation,90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_median_diff,NearFut.ppt.diffs.med,ppt_dy_gridSTDF_median-diffs-prediction,ppt,precipitation_amount,mm,Predicted Daily Precipiation,difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_10_diff,NearFut.ppt.diffs.10,ppt_dy_gridSTDF_10pct-diffs-prediction,ppt,precipitation_amount,mm,Predicted Daily Precipitation,difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
ppt_90_diff,NearFut.ppt.diffs.90,ppt_dy_gridSTDF_90pct-diffs_prediction,ppt,precipitation_amount,mm,Predicted Daily Precipitation,difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,352,P,timeseries
