short_name,dataset_column_name,Name,var_name,var_standardname,var_units,var_description,var_comment,var_comment2,var_cell_methods,time_units,time_values_min,time_values_max,TP,type_timeaxis
vwc-shallow_median,NearFut.VWC.Intermediate.mean.med,vwc-shallow_dy_gridSTDF_median-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-shallow_10,NearFut.VWC.Intermediate.mean.10,vwc-shallow_dy_gridSTDF_10pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-shallow_90,NearFut.VWC.Intermediate.mean.90,vwc-shallow_dy_gridSTDF_90pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-shallow_median_diff,NearFut.VWC.Intermediate.Diffs.Med,vwc-shallow_dy_gridSTDF_median-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-shallow_10_diff,NearFut.VWC.Intermediate.Diffs.10,vwc-shallow_dy_gridSTDF_10pct-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-shallow_90_diff,NearFut.VWC.Intermediate.Diffs.90,vwc-shallow_dy_gridSTDF_90pct-diffs_prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_median,NearFut.VWC.Intermediate.mean.med,vwc-med_dy_gridSTDF_median-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_10,NearFut.VWC.Intermediate.mean.10,vwc-med_dy_gridSTDF_10pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_90,NearFut.VWC.Intermediate.mean.90,vwc-med_dy_gridSTDF_90pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_median_diff,NearFut.VWC.Intermediate.Diffs.Med,vwc-med_dy_gridSTDF_median-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_10_diff,NearFut.VWC.Intermediate.Diffs.10,vwc-med_dy_gridSTDF_10pct-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-med_90_diff,NearFut.VWC.Intermediate.Diffs.90,vwc-med_dy_gridSTDF_90pct-diffs_prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_median,NearFut.VWC.Deep.mean.med,vwc-deep_dy_gridSTDF_median-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_10,NearFut.VWC.Deep.mean.10,vwc-deep_dy_gridSTDF_10pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_90,NearFut.VWC.Deep.mean.90,vwc-deep_dy_gridSTDF_90pct-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_median_diff,NearFut.VWC.Deep.Diffs.Med,vwc-deep_dy_gridSTDF_median-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_10_diff,NearFut.VWC.Deep.Diffs.10,vwc-deep_dy_gridSTDF_10pct-diffs-prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
vwc-deep_90_diff,NearFut.VWC.Deep.Diffs.90,vwc-deep_dy_gridSTDF_90pct-diffs_prediction,vwc,volumetric_water_content,cm/cm,Predicted Daily Volumetric Water Content in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_median,NearFut.SWP.Shallow.mean.med,swp-shallow_dy_gridSTDF_median-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential  in Shallow Soil Layers (0 - 15cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_10,NearFut.SWP.Shallow.mean.10,swp-shallow_dy_gridSTDF_10pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_90,NearFut.SWP.Shallow.mean.90,swp-shallow_dy_gridSTDF_90pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_median_diff,NearFut.SWP.Shallow.Diffs.Med,swp-shallow_dy_gridSTDF_median-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential  in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_10_diff,NearFut.SWP.Shallow.Diffs.10,swp-shallow_dy_gridSTDF_10pct-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-shallow_90_diff,NearFut.SWP.Shallow.Diffs.90,swp-shallow_dy_gridSTDF_90pct-diffs_prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Shallow Soil Layers (0 - 15cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_median,NearFut.SWP.Intermediate.mean.med,swp-medium_dy_gridSTDF_median-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_10,NearFut.SWP.Intermediate.mean.10,swp-medium_dy_gridSTDF_10pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_90,NearFut.SWP.Intermediate.mean.90,swp-medium_dy_gridSTDF_90pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_median_diff,NearFut.SWP.Intermediate.Diffs.Med,swp-med_dy_gridSTDF_median-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_10_diff,NearFut.SWP.Intermediate.Diffs.10,swp-med_dy_gridSTDF_10pct-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-med_90_diff,NearFut.SWP.Intermediate.Diffs.90,swp-med_dy_gridSTDF_90pct-diffs_prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Intermediate Soil Layers (16 - 50cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_median,NearFut.SWP.Deep.mean.med,swp-deep_dy_gridSTDF_median-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),median of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_10,NearFut.SWP.Deep.mean.10,swp-deep_dy_gridSTDF_10pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),10th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_90,NearFut.SWP.Deep.mean.90,swp-deep_dy_gridSTDF_90pct-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),90th quantile of daily forecasts,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_median_diff,NearFut.SWP.Deep.Diffs.Med,swp-deep_dy_gridSTDF_median-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted median,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_10_diff,NearFut.SWP.Deep.Diffs.10,swp-deep_dy_gridSTDF_10pct-diffs-prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
swp-deep_90_diff,NearFut.SWP.Deep.Diffs.90,swp-deep_dy_gridSTDF_90pct-diffs_prediction,swp,soil_water_potential,MPa,Predicted Daily Soil Water Potential in Deep Soil Layers (51 - 185cm soil depth),difference between historical median and predicted 10% quantile,See https://github.com/DrylandEcology/shorttermdroughtforecaster/blob/master/Documentation/WeatherLogicStepbyStep.md for more detail,time: mean within days time: mean over days,days since 1970-01-01,1,351,P,timeseries
shriver_historical,,shriver_yr_gridSTDF_historical,probability,probability of sagebrush seeding success,,Historical Probability of Sagebrush Seeding Success ,"Based on Shriver, R.K. et al.  (2018). Adapting management to a changing world: Warm temperatures, dry soil, and inter-annual variability limit restoration success of dominant woody shrub in temperate drylands. Global Change Biology. 24","Historical climate data (1991 - last year) is run through Soilwat. Results are used to generate probabilities of seeding success in previous years, based upon the model presented in Shriver et al. 2018.",time: mean within days time: mean over years,year,1,32,EH,timeseries
shriver_prediction,,shriver_yr_gridSTDF_prediction,probability,probability of sagebrush seeding success,,Future Sagebrush Seeding Success for the current year and next year (for 30 realizations of T&P anomalies),"Based on Shriver, R.K. et al.  (2018). Adapting management to a changing world: Warm temperatures, dry soil, and inter-annual variability limit restoration success of dominant woody shrub in temperate drylands. Global Change Biology. 24","30 realizations of the current year are generated via multivariate sampling based upon by NWS 'long-lead forecasts'  anomalies for temperature and precipitation. These realizations are run through Soilwat.   Results are used to generate probabilities of seeding success in the current and next year, based upon the model presented in Shriver et al. 2018.",time: mean within days time: mean over years,year,1,60,EP,timeseries
GISSM_historical,,GISSM_yr_gridSTDF_historical,probability,probability (frequency) of years when big sagebrush seedlings survive in undisturbed natural vegetation,,Historical Mean Establishment,"Based on Schlaepfer, D. R. et al. (2014). Modeling regeneration responses of big sagebrush (Artemisia tridentata) to abiotic conditions. Ecological Modelling. 286 https://doi.org/10.1016/j.ecolmodel.2014.04.021",Historical climate data (1991 - last year) is run through Soilwat. Results are the probability (frequency) of years when big sagebrush seedlings survive in undisturbed natural vegetation,time: mean within days time: mean over years,year,1,32,EH,timeseries
GISSM_prediction,,GISSM_yr_gridSTDF_prediction,probability,probability (frequency) of years when big sagebrush seedlings survive in undisturbed natural vegetation,,Future Establishment Probability for the current year and the next year (for 30 realizations of T&P anomalies),"Based on Schlaepfer, D. R. et al. (2014). Modeling regeneration responses of big sagebrush (Artemisia tridentata) to abiotic conditions. Ecological Modelling. 286 https://doi.org/10.1016/j.ecolmodel.2014.04.021",30 realizations of the current year are generated via multivariate sampling based upon by NWS 'long-lead forecasts'  anomalies for temperature and precipitation. These realizations are run through Soilwat. Results represent the probability (frequency) of realization of the current and next year when big sagebrush seedlings survive in undisturbed natural vegetation. ,time: mean within days time: mean over years,year,1,60,EP,timeseries
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
oconnor-swp_mean,,oconnor-swp_dy_gridSTDF_mean-prediction,swp,soil_water_potential,MPa,Daily Soil Water Potential in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,
oconnor-swp_10,,oconnor-swp_dy_gridSTDF_10pct-prediction,swp,soil_water_potential,MPa,Daily Soil Water Potential in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,
oconnor-swp_90,,oconnor-swp_dy_gridSTDF_90pct-prediction,swp,soil_water_potential,MPa,Daily Soil Water Potential in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,
oconnor-stemp_mean,,oconnor-soiltemp_dy_gridSTDF_mean-prediction,stemp,soil_temperature,C,Daily Soil Temperature in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,
oconnor-stemp_10,,oconnor-soiltemp_dy_gridSTDF_10pct-prediction,stemp,soil_temperature,C,Daily Soil Temperature in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,
oconnor-stemp_90,,oconnor-soiltemp_dy_gridSTDF_90pct-prediction,stemp,soil_temperature,C,Daily Soil Temperature in 0 - 5 cm soil depth for the month of March in the upcoming year,Based on O'Connor et al. (2020). Small scale water deficits after wildfires create long-lasting ecological impacts. Environmental Research Letters. 15(4),,time: mean within days time: mean over days,days,,,,